Platform,MITRE ATT&CK Tactics, MITRE ATT&CK Technique, Tool / Binary, Host/Network Artifacts, Data Source, Logic, SPL (Splunk), Microsoft KQL Query,Elastic KQL Query, Common False Positives
Windows,Discovery,T1087.002 - Account Discovery: Domain Account,net.exe / net1.exe / nltest.exe / whoami.exe / systeminfo.exe / ipconfig.exe / ping.exe / arp.exe / chcp.com,4+ distinct recon binaries spawned under the same parent process within a short session; command-line arguments referencing /domain flag,Sysmon Event 1,LOLBin Recon Chain: Multiple native reconnaissance binaries invoked by the same parent process. A single tool invocation is normal admin activity; 4 or more distinct recon tools sharing a common parent process within the same session is a strong indicator of scripted post-compromise enumeration.,"EventCode=1 | search process_name IN (arp.exe,chcp.com,ipconfig.exe,net.exe,net1.exe,nltest.exe,ping.exe,systeminfo.exe,whoami.exe) OR (process_name IN (cmd.exe,powershell.exe) AND process IN (*arp*,*chcp*,*ipconfig*,*net*,*nltest*,*ping*,*systeminfo*,*whoami*)) | stats values(process) as process min(_time) as _time by parent_process parent_process_id dest user | where mvcount(process) > 3",,,IT admins running sequential diagnostic commands; helpdesk scripts; onboarding automation that calls multiple system tools in sequence.
Windows,Command and Control, T1105 - Ingress Tool Transfer, certutil,"certutil command with ""-urlcache"" and ""-f"" flags", Sysmon Event 1, LoLBin Abuse: Misusing the -urlcache flag to download arbitrary files (Ingress Tool Transfer) or -decode to obfuscate payloads. Bypasses application whitelisting.,"EventCode=""1"" Image=""*\\certutil.exe"" CommandLine=""*-urlcache* -f *""",,, Legitimate use of certutil for certificate management.
Windows,Command and Control, T1105 - Ingress Tool Transfer, certutil,"certutil command with ""-urlcache"" and ""-f"" flags",Security Event 4688, LoLBin Abuse: Misusing the -urlcache flag to download arbitrary files (Ingress Tool Transfer) or -decode to obfuscate payloads. Bypasses application whitelisting.,"EventCode=4688 NewProcessName=""*\\certutil.exe"" (CommandLine=""*-urlcache*"" OR CommandLine=""*-f*"")",,, Legitimate use of certutil for certificate management.
Windows,Command and Control, T1105 - Ingress Tool Transfer,PowerShell (Invoke-WebRequest),"powershell.exe command contains Invoke-WebRequest, iwr, wget, curl",Sysmon Event 1,Download Cradle: Fetches remote payloads using aliases. Sysmon 1 captures full arguments,"EventCode=""1"" Image=""*\\powershell.exe"" CommandLine IN (""*Invoke-WebRequest*"", ""*iwr*"", ""*wget*"", ""*curl*"")",,,DevOps scripts; Chocolatey installer.
Windows,Command and Control, T1105 - Ingress Tool Transfer,PowerShell (Invoke-WebRequest),"powershell.exe command contains Invoke-WebRequest, iwr, wget, curl",Security Event 4688,Download Cradle: Fetches remote payloads using aliases. Event 4688 captures full arguments (Requires 'Include command line in process creation events' GPO enabled).,"EventCode=4688 NewProcessName=""*\\powershell.exe"" (CommandLine=""*Invoke-WebRequest*"" OR CommandLine=""*iwr*"" OR CommandLine=""*wget*"" OR CommandLine=""*curl*"")",,,DevOps scripts; Chocolatey installer.
Windows,Command and Control, T1105 - Ingress Tool Transfer,PowerShell (Invoke-WebRequest),"powershell.exe command contains Invoke-WebRequest, iwr, wget, curl",PowerShell Event 4104,Download Cradle: Fetches remote payloads using aliases. Powershell 4104 captures full script block,"EventCode=""4104"" ScriptBlockText IN (""*Invoke-WebRequest*"", ""*iwr*"", *""wget*"", ""*curl*"")",,,DevOps scripts; Chocolatey installer.
Windows,Command and Control, T1105 - Ingress Tool Transfer,curl.exe (Native Binary),"Image is curl.exe; Args: -O, -o",Sysmon Event 1,Native Binary Abuse: Distinct from PowerShell alias. Used to bypass PS logging constraints,"EventCode=""1"" Image=""*\\curl.exe"" AND CommadnLine=""*http*"" AND CommandLine IN (""*-O*"" OR ""-o"")",,,DevOps scripts; Developer workstations.
Windows,Command and Control, T1105 - Ingress Tool Transfer,curl.exe (Native Binary),"Image is curl.exe; Args: -O, -o",Security Event 4688,Native Binary Abuse: Distinct from PowerShell alias. Used to bypass PS logging constraints,"EventCode=4688 NewProcessName=""*\\curl.exe"" CommandLine=""*http*"" (CommandLine=""*-O*"" OR CommandLine=""*-o*"")",,,DevOps scripts; Developer workstations.
Windows,Credential Access,T1110.003 - Brute Force: Password Spraying,Custom scripts / Spray tools (Spray / ruler / MSOLSpray) / manual attempts,Multiple 4625 failures across many distinct user accounts from a single source IP within a 15-minute window; Failure_Reason = unknown user name or bad password,Security Event 4625,Password Spraying via Failed Logons: Password spraying produces a high count of distinct failed accounts (dc_user) from one source IP within a short time window while keeping per-account failure count low to avoid lockout. Bucketing into 15-minute intervals and filtering for dc_user > 10 surfaces spray campaigns while tolerating normal individual mistype noise.,"EventCode=4625 | where Source_Network_Address!=""-"" AND Source_Network_Address!=""::1"" | bin span=15m _time | stats values(user) as Users dc(user) as dc_user count as total_attempts by _time src Source_Network_Address dest Failure_Reason | where dc_user > 10 | sort -dc_user",,,Service accounts with stale cached credentials generating repeated failures; shared workstations where multiple users mistype passwords in the same window; monitoring tools performing credential validation checks. Filter known service account names and internal monitoring IPs.
Windows,Credential Access,T1003.001 -LSASS Dump,Mimikatz / rundll32.exe (comsvcs.dll) / Custom Tooling,Dump files typically found in %TEMP% or C:\Windows\Temp; Sysmon Event 11 targeting .dmp extension; CallTrace containing comsvcs.dll.,"Sysmon Event 1
Sysmon Event 10","Master LSASS Defense: Detects unauthorized memory reading (GrantedAccess 0x1F3FFF or 0x1010), comsvcs.dll MiniDump export abuse, or explicit Mimikatz command lines.","(EventCode=""10"" TargetImage=""*\\lsass.exe"" (GrantedAccess=""0x1F3FFF"" OR GrantedAccess=""*1010"" OR CallTrace=""*comsvcs.dll*"") SourceImage!=""*\\svchost.exe"") OR (EventCode=""1"" CommandLine=""*sekurlsa*"")",,,"Antivirus / EDR processes (scanning LSASS memory), Debugging tools (Visual Studio)"
