Protocol,Category,Filter Syntax (Wireshark),BPF / Tcpdump Filter,Description/Use Case
TCP,Recon,tcp.flags.syn == 1 and tcp.flags.ack == 0 and tcp.window_size > 1024,tcp[13] & 18 == 2 and tcp[14:2] > 1024,TCP Connect Scan: Standard full handshake scan (Large Window)
TCP,Recon,tcp.flags.syn == 1 and tcp.flags.ack == 0 and tcp.window_size <= 1024,tcp[13] & 18 == 2 and tcp[14:2] <= 1024,SYN Scan: Stealth half-open scan signature (Small Window)
ICMP,Recon,icmp.type == 3 and icmp.code == 3,icmp[0] == 3 and icmp[1] == 3,UDP Scan Response: Port Unreachable (Confirms UDP scan on closed port)
ICMP,C2,icmp and data.len > 48,icmp and ip[2:2] - ((ip[0] & 0x0f) * 4) - 8 > 48,"ICMP Tunneling: Detects payloads larger than standard Ping (Windows=32b, Linux=48b)."
ARP,Recon,arp.dst.hw_mac == 00:00:00:00:00:00,arp[18:4] == 0 and arp[22:2] == 0,Host Discovery: ARP broadcast to identify live hosts
ARP,Attack,arp.duplicate-address-detected,N/A,ARP Poisoning: Duplicate IP detected (Potential MitM)
ARP,Attack,arp.opcode == 1,arp[6:2] == 1,ARP Flood: High volume of requests (Check Statistics)
HTTP,Triage,http.response.code == 200,N/A,Success: Successful HTTP requests (200 OK)
HTTP,Recon,http.response.code == 404,N/A,Dir Busting: High volume indicates directory bruteforce/scanning
HTTP,Recon,http.response.code == 401 || http.response.code == 403,N/A,Access Denied: Attempts to access restricted resources
HTTP,Method,"http.request.method == ""POST""",tcp[((tcp[12] & 0xf0) >> 2):4] = 0x504F5354,"Data Upload: Potential Webshell interaction, logon attempts or data exfiltration"
HTTP,Method,"http.request.method == ""PUT""",tcp[((tcp[12] & 0xf0) >> 2):4] = 0x50555420,File Upload: Potential WebDAV malicious file upload
HTTP,Method,"http.request.method == ""DELETE""",tcp[((tcp[12] & 0xf0) >> 2):4] = 0x44454C45,Resource Removal: Attempt to delete files/logs via API or WebDAV
HTTP,Indicator,"http.user_agent contains ""sqlmap"" || http.user_agent contains ""Nmap"" || http.user_agent contains ""Nikto""",N/A,Hack Tool: Default User-Agent from automated scanners
HTTP,Exploit,"(ip contains ""jndi"") or ( ip contains ""Exploit"") or (frame contains ""jndi"") or ( frame contains ""Exploit"") or (http.user_agent contains ""$"") or (http.user_agent contains ""=="")  ",N/A,Exploit: JNDI injection attempt (CVE-2021-44228)
TLS,Triage,tls.handshake.type == 1,tcp[((tcp[12] & 0xf0) >> 2)] == 0x16 and tcp[((tcp[12] & 0xf0) >> 2) + 5] == 0x01,Client Hello: Identify initiation of secure connections. Source of SNI and JA3 data.
FTP,Auth,"ftp.request.command == ""USER""",tcp port 21 and tcp[((tcp[12] & 0xf0) >> 2):4] = 0x55534552,Account Context: Identifies target username. Critical for attribution.
FTP,Auth,"ftp.request.command == ""PASS""",tcp port 21 and tcp[((tcp[12] & 0xf0) >> 2):4] = 0x50415353,Credential Context: Captures cleartext password. Confirms if credential was leaked.
FTP,Auth,ftp.response.code == 530,tcp port 21 and tcp[((tcp[12] & 0xf0) >> 2):4] = 0x35333020,Brute Force: Login failed (Sequence of 530s)
FTP,Auth,ftp.response.code == 230,tcp port 21 and tcp[((tcp[12] & 0xf0) >> 2):4] = 0x32333020,Login Success: Successful authentication
FTP,Enum,"ftp.request.command == ""LIST""",tcp port 21 and tcp[((tcp[12] & 0xf0) >> 2):4] = 0x4C495354,File Enumeration: Check files in current directory
FTP,Nav,"ftp.request.command == ""CWD""",tcp port 21 and tcp[((tcp[12] & 0xf0) >> 2):4] = 0x43574420,Movement: Change Working Directory. Tracks attacker's lateral movement path.
FTP,Nav,"ftp.request.command == ""PWD""",tcp port 21 and tcp[((tcp[12] & 0xf0) >> 2):4] = 0x50574420,Verification: Print Working Directory. Attacker confirming current location.
FTP,Action,"ftp.request.command == ""RETR""",tcp port 21 and tcp[((tcp[12] & 0xf0) >> 2):4] = 0x52455452,Download: Attacker retrieved a file
FTP,Action,"ftp.request.command == ""STOR""",tcp port 21 and tcp[((tcp[12] & 0xf0) >> 2):4] = 0x53544F52,Upload: Attacker uploaded a file
FTP,Exfiltration,ftp-data,tcp port 20,Data Channel: Isolate and extract transferred files (malware payloads or exfiltrated data). Note: BPF 'tcp port 20' only works for Active Mode.
SMB,File Transfer,smb.cmd == 0xA2,N/A,SMB File Transfer: Detect NT Create AndX (File creation/opening)
DNS,C2,dns.flags.response == 0,udp port 53 and udp[10] & 128 == 0,Beaconing Analysis: Filter queries to calculate frequency (Jitter/Interval)
DNS,Exfil,dns.qry.name.len > 15 and !mdns,N/A,Long Subdomains: Detects data exfiltration encoded in long subdomains (Tunneling).
DNS,C2,dns.qry.type == 16,N/A,TXT Record C2: Detects TXT records often used to carry C2 payloads (Base64).
DNS,C2,dns.count.answers > 10,udp port 53 and udp[14:2] > 10,Fast Flux: High number of IP resolutions returned for a single domain.
Global,Hunting,"frame contains ""KEYWORD""",N/A,"Nuclear Search: Search ENTIRE packet (Headers Body Hex) for a string. Best for initial blind hunting.,High noise if keyword is common (e.g. ""com"")."
Global,Hunting,"frame matches ""(?i)KEYWORD""",N/A,"Case-Insensitive Hunt: Regex search ignoring case (e.g. finds 'Admin' 'admin' 'ADMIN'). Crucial for evasion detection.,Computationally expensive on large PCAPs."
HTTP,Hunting,"http.request.uri contains ""KEYWORD""",N/A,Path Hunting: Search specifically in file paths/directories (e.g. .bak .config private)
HTTP,Hunting,"http.request.full_uri contains ""KEYWORD""",N/A,Parameter Hunting: Search full URL including GET parameters (e.g. finds SQLi payloads)
HTTP,Hunting,"http.file_data contains ""KEYWORD""",N/A,Content Hunting: Search ONLY in the response body (HTML/JSON). Good for finding defacement.
HTTP,Hunting,"http.host contains ""KEYWORD""",N/A,Infrastructure Hunt: Search for suspicious domain patterns in Host headers.
HTTP,Hunting,"http.request.method == ""POST"" && frame contains ""KEYWORD""",N/A,Post Body Hunt: Search inside POST requests (e.g. login passwords webshell content)
DHCP,Asset_ID,bootp.option.type == 12,N/A,Hostname Extraction: Identify the machine name (Hostname) from DHCP Request packets.
DHCP,Asset_ID,bootp.option.type == 55,N/A,"OS Fingerprinting: Analyze ""Parameter Request List"" to infer OS type (Windows requests distinct params vs Linux)."
NBNS,Asset_ID,nbns,udp port 137,NetBIOS Name: Identify Windows Hostnames and Workgroups on local subnet.
SMB,Asset_ID,smb2.session_setup.request.type,N/A,Windows Build ID: SMB Session Setup often reveals the exact Native OS and Kernel Build version.
TLS,Hunting,"tls.handshake.extensions_server_name contains ""KEYWORD""",N/A,SNI Hunt: Search the intended domain name in cleartext even if traffic is encrypted.
TLS,Hunting,tls.handshake.ciphersuite == 0x0035,N/A,Weak Encryption: Detect usage of weak ciphers often used by legacy malware or C2.
TLS,Intel,"tls.x509.Subject contains ""KEYWORD""",N/A,Cert Analysis: Hunt for suspicious Certificate Subject names (e.g. self-signed fake company names).
TLS,Intel,"tls.x509.Issuer contains ""KEYWORD""",N/A,Cert Issuer: Identify free/automated SSL providers commonly abused by Phishing/C2.
TLS,Indicator,tls.record.version == 0x0301,tcp[((tcp[12] & 0xf0) >> 2) + 1:2] == 0x0301,Protocol Version: Detect legacy TLS 1.0 traffic. Indicates outdated systems or malware beacons.
TLS,Recon,tls.alert_message.level == 2,tcp[((tcp[12] & 0xf0) >> 2)] == 0x15 and tcp[((tcp[12] & 0xf0) >> 2) + 5] == 0x02,Fatal Alert: Detect failed handshakes. High volume indicates SSL Scanning.
NTLM,Auth,"ntlmssp.auth.username == ""KEYWORD""",N/A,NTLM Hunt: Search for specific user authentication in PCAP.
Kerberos,Auth,"kerberos.CNameString == ""KEYWORD""",N/A,Kerberos Hunt: Search for specific client ticket requests.
